OS,machine_cpu,machine_ram,Graph_name,Graph_type,Graph_size(MB),Graph_nodes(vertices),Graph_edges,Algorithm,exec_time(s),peak_memory,mean_memory,cpu_usage,Disk_read,Disk_write
ubutnu,4,8,twitter-2010.txt.bin,social network,11.7GB,41652230,41652230,PR50,0.123,54396,,236%,,
ubutnu,4,8,twitter-2010.txt.bin,social network,11.7GB,41652230,41652230,PR10,0.101,45908,,171%,,
ubutnu,4,8,twitter-2010.txt.bin,social network,11.7GB,41652230,41652230,CC,28.522,11265376,,88%,,
ubutnu,4,8,web-Google.txt,web,72M,875713,5105039,transform_txt_bin,1.227,1654372,,143%,149200,79832
ubutnu,4,8,web-Google.txt.bin,web,39M,875713,5105039,PR20,0.138,80612,,218%,,
ubutnu,4,8,web-Google.txt.bin,web,39M,875713,5105039,PR50,0.164,91204,,246%,,
ubutnu,4,8,web-Google.txt.bin,web,39M,875713,5105039,PR10,0.135,80512,,190%,,
ubutnu,4,8,web-Google.txt.bin,web,39M,875713,5105039,CC,0.142,94532,,135%,,
ubuntu,4,8,com-friendster.all.cmty.txt,ground-thruth community,202M,65608366,1806067135,transform_txt_bin,1.479,1882604,,149%,,25392
ubuntu,4,8,com-friendster.all.cmty.txt.bin,ground-thruth community,13M,65608366,1806067135,PR10,0.69,817268,,118%,,
ubuntu,4,8,com-friendster.all.cmty.txt.bin,ground-thruth community,13M,65608366,1806067135,PR20,0.899,818204,,118%,,
ubuntu,4,8,com-friendster.all.cmty.txt.bin,ground-thruth community,13M,65608366,1806067135,PR50,1.505,824892,,117%,,
ubuntu,4,8,com-friendster.all.cmty.txt.bin,ground-thruth community,13M,65608366,1806067135,CC,266.48,7104368,,84%,,
ubuntu,4,8,com-orkut.all.cmty.txt,ground-thruth community,796M,3072441,117185083,transform_txt_bin,7.89,3943884,,117%,,
ubuntu,4,8,com-orkut.all.cmty.txt.bin,ground-thruth community,117M,3072441,117185083,PR10,3.513,283072,,386%,,
ubuntu,4,8,com-orkut.all.cmty.txt.bin,ground-thruth community,117M,3072441,117185083,PR20,7.029,355796,,395%,,
ubuntu,4,8,com-orkut.all.cmty.txt.bin,ground-thruth community,117M,3072441,117185083,PR50,16.091,364324,,398%,,
ubuntu,4,8,com-orkut.all.cmty.txt.bin,ground-thruth community,117M,3072441,117185083,CC,2.28,612588,,67%,,
