OS,machine_cpu,machine_ram,Graph_name,Graph_type,Graph_size(MB),Graph_nodes(vertices),Graph_edges,Algorithm,exec_time(s),peak_memory,mean_memory,cpu_usage,Disk_read,Disk_write
,6,16,,,,,,CC,,,,,,
,6,16,,,,,,Triangle ,,,,,,
,6,16,,,,,,,,,,,,
,6,16,graph-500-sclae23-ef16-edj,3.9GB,,,,convert,,,,,,
,6,16,,,,,,BFS,,,,,,
,6,16,,,,,,PR 10,,,,,,
,6,16,,,,,,PR 20,,,,,,
,6,16,,,,,,PR 50,,,,,,
,6,16,,,,,,CC,,,,,,
,6,16,,,,,,Triangle,,,,,,
,6,16,,,,,,,,,,,,
,6,16,soc-sinawbeio-260M_edge,4GB,,,,convert,55.05,3474212,97%,7751736,4083248,
,6,16,soc-sinawbeio-260M_edge,,,,,PR10,87,654420,131%,,,
,6,16,soc-sinawbeio-260M_edge,,,,,PR20,0.61,654664,129%,,,
,6,16,soc-sinawbeio-260M_edge,,,,,PR50,0.97,654600,137%,,,
,6,16,soc-sinawbeio-260M_edge,,,,,CC,75.69,3096920,64%,2035696,8928920,
,6,16,,,,,,Triangle,Java heap Space,,,,,
Racem,6,16,,,,,,,,,,,,
,6,16,twitter-2010.bin,,,,,PR10,71,12020120,536%,22943872,536,
,,,,,,,,PR20,60,12020104,1168%,,392,
,,,,,,,,PR50,151.93,12029968,1177%,136,424,
,,,,,,,,CC,20.82,11669348,100%,,160,
,,,,,,,,Triangle,,,,,,
