OS,machine_cpu,machine_ram,Graph_name,Graph_type,Graph_size(MB),Graph_nodes(vertices),Graph_edges,Algorithm,exec_time(s),peak_memory,mean_memory,mean_cpu,Disk_read,Disk_write
,6,16,web-Google,,,,,PR20,3.12,227560,94%,94%,4872,
,6,16,web-Google,,,,,PR50,6.51,227504,75%,75%,87456,
,6,16,web-Google,,,,,PR100,9.13,227572,84%,84%,87184,
,6,16,web-Google,,,,,BFS,0.53,227524,92%,92%,87448,
,6,16,web-Google,,,,,CC,1.29,227516,95%,95%,87456,
,6,16,web-Google,,,,,TC,1.30,227528,96%,96%,248,
,6,16,socf-konect,,,,,PR10,31.12,6538816,60%,60%,87456,
,6,16,socf-konect,,,,,PR20,49.35,6538816,63%,63%,87480,
,6,16,socf-konect,,,,,PR50,25.53,6538820,99%,99%,4840,
,6,16,socf-konect,,,,,PR100,85.35,6538880,99%,99%,4840,
,6,16,socf-konect,,,,,BFS,13.17,6538968,99%,99%,4840,
,6,16,socf-konect,,,,,CC,1.72,3236,99%,99%,4840,
,6,16,socf-konect,,,,,TC,30.18,7437572,91%,91%,4848,
,6,16,socf-konect,,,,,PR20,28.73,8057552,99%,99%,4872,
,6,16,bn-human,,,,,PR50,51.72,3300,98%,98%,4840,
,6,16,bn-human,,,,,PR100,50.87,8057540,99%,99%,4840,
,6,16,bn-human,,,,,PR100,51.86,8057504,0%,0%,4584,
,6,16,bn-human,,,,,BFS,15.77,8057484,99%,99%,4840,
,6,16,bn-human,,,,,CC,16.21,8057540,99%,99%,4840,
,6,16,bn-human,,,,,TC,19.10,8057516,94%,94%,4848,
,,,,,,,,,,,95%,95%,4840,
,,,,,,,,,,,87%,4872,4872,
